2D/3D B M d delta AcceptanceProbability NumberOfPerturbations
2 50 200 0.8 4 0.893660 100000
2 50 200 0.8 5 0.864690 100000
2 50 200 0.8 6 0.838020 100000
2 50 200 0.8 7 0.811100 100000
2 50 200 0.8 8 0.787360 100000
2 50 200 0.8 9 0.760890 100000
2 50 200 0.8 10 0.735890 100000
2 50 200 0.8 11 0.712900 100000
2 50 200 0.8 12 0.688980 100000
2 50 200 0.8 13 0.663420 100000
2 50 200 0.8 14 0.643150 100000
2 50 200 0.8 15 0.621440 100000
2 50 200 0.8 16 0.601440 100000
2 50 200 0.8 17 0.578530 100000
2 50 200 0.8 18 0.560650 100000
2 50 200 0.8 19 0.540900 100000
2 50 200 0.8 20 0.520930 100000
2 50 200 0.8 21 0.505920 100000
2 50 200 0.8 22 0.487220 100000
2 50 200 0.8 23 0.472120 100000
2 50 200 0.8 24 0.458880 100000
2 50 200 0.8 25 0.444580 100000
2 50 200 0.8 26 0.429210 100000
2 50 200 0.8 27 0.417760 100000
2 50 200 0.8 28 0.404220 100000
2 50 200 0.8 29 0.391030 100000
2 50 200 0.8 30 0.377420 100000
2 50 200 0.8 31 0.370210 100000
2 50 200 0.8 32 0.355180 100000
2 50 200 0.8 33 0.346570 100000
2 50 200 0.8 34 0.337320 100000
2 50 200 0.8 35 0.329100 100000
2 50 200 0.8 36 0.316990 100000
2 50 200 0.8 37 0.311090 100000
2 50 200 0.8 38 0.303280 100000
2 50 200 0.8 39 0.296800 100000
2 50 200 0.8 40 0.290750 100000
2 50 200 0.8 41 0.280150 100000
2 50 200 0.8 42 0.280030 100000
2 50 200 0.8 43 0.267830 100000
2 50 200 0.8 44 0.263810 100000
2 50 200 0.8 45 0.256790 100000
2 50 200 0.8 46 0.249420 100000
2 50 200 0.8 47 0.245040 100000
2 50 200 0.8 48 0.243660 100000
2 50 200 0.8 49 0.235160 100000
2 50 200 0.8 50 0.232940 100000
2 50 200 0.8 51 0.225940 100000
2 50 200 0.8 52 0.222790 100000
2 50 200 0.8 53 0.219110 100000
2 50 200 0.8 54 0.213970 100000
2 50 200 0.8 55 0.211500 100000
2 50 200 0.8 56 0.204880 100000
2 50 200 0.8 57 0.202400 100000
2 50 200 0.8 58 0.200180 100000
2 50 200 0.8 59 0.194970 100000
2 50 200 0.8 60 0.192370 100000
2 50 200 0.8 61 0.191030 100000
2 50 200 0.8 62 0.184970 100000
2 50 200 0.8 63 0.185730 100000
2 50 200 0.8 64 0.178830 100000
2 50 200 0.8 65 0.177890 100000
2 50 200 0.8 66 0.175100 100000
2 50 200 0.8 67 0.173360 100000
2 50 200 0.8 68 0.170990 100000
2 50 200 0.8 69 0.165180 100000
2 50 200 0.8 70 0.164910 100000
2 50 200 0.8 71 0.163040 100000
2 50 200 0.8 72 0.160220 100000
2 50 200 0.8 73 0.157810 100000
2 50 200 0.8 74 0.158730 100000
2 50 200 0.8 75 0.156300 100000
2 50 200 0.8 76 0.152470 100000
2 50 200 0.8 77 0.150260 100000
2 50 200 0.8 78 0.146340 100000
2 50 200 0.8 79 0.146790 100000
2 50 200 0.8 80 0.145420 100000
2 50 200 0.8 81 0.143860 100000
2 50 200 0.8 82 0.140570 100000
2 50 200 0.8 83 0.139880 100000
2 50 200 0.8 84 0.138280 100000
2 50 200 0.8 85 0.135240 100000
2 50 200 0.8 86 0.133650 100000
2 50 200 0.8 87 0.132760 100000
2 50 200 0.8 88 0.132670 100000
2 50 200 0.8 89 0.127520 100000
2 50 200 0.8 90 0.128180 100000
2 50 200 0.8 91 0.127850 100000
2 50 200 0.8 92 0.127220 100000
2 50 200 0.8 93 0.124340 100000
2 50 200 0.8 94 0.123470 100000
2 50 200 0.8 95 0.123280 100000
2 50 200 0.8 96 0.121200 100000
2 50 200 0.8 97 0.117310 100000
2 50 200 0.8 98 0.120440 100000
2 50 200 0.8 99 0.117060 100000
2 50 200 0.8 100 0.114840 100000
2 50 200 0.8 101 0.113420 100000
2 50 200 0.8 102 0.111130 100000
2 50 200 0.8 103 0.110080 100000
2 50 200 0.8 104 0.109320 100000
2 50 200 0.8 105 0.109780 100000
2 50 200 0.8 106 0.108130 100000
2 50 200 0.8 107 0.106020 100000
2 50 200 0.8 108 0.107660 100000
2 50 200 0.8 109 0.107340 100000
2 50 200 0.8 110 0.105710 100000
2 50 200 0.8 111 0.104210 100000
2 50 200 0.8 112 0.102740 100000
2 50 200 0.8 113 0.101900 100000
2 50 200 0.8 114 0.100590 100000
2 50 200 0.8 115 0.099890 100000
2 50 200 0.8 116 0.098710 100000
2 50 200 0.8 117 0.097410 100000
2 50 200 0.8 118 0.099110 100000
2 50 200 0.8 119 0.097180 100000
2 50 200 0.8 120 0.097350 100000
2 50 200 0.8 121 0.095670 100000
2 50 200 0.8 122 0.093890 100000
2 50 200 0.8 123 0.094410 100000
2 50 200 0.8 124 0.093270 100000
2 50 200 0.8 125 0.093630 100000
2 50 200 0.8 126 0.092310 100000
2 50 200 0.8 127 0.091060 100000
2 50 200 0.8 128 0.091590 100000
2 50 200 0.8 129 0.089180 100000
2 50 200 0.8 130 0.090350 100000
2 50 200 0.8 131 0.088390 100000
2 50 200 0.8 132 0.087490 100000
2 50 200 0.8 133 0.086770 100000
2 50 200 0.8 134 0.083910 100000
2 50 200 0.8 135 0.085840 100000
2 50 200 0.8 136 0.084760 100000
2 50 200 0.8 137 0.085830 100000
2 50 200 0.8 138 0.083630 100000
2 50 200 0.8 139 0.085360 100000
2 50 200 0.8 140 0.081490 100000
2 50 200 0.8 141 0.084140 100000
2 50 200 0.8 142 0.080410 100000
2 50 200 0.8 143 0.079850 100000
2 50 200 0.8 144 0.080220 100000
2 50 200 0.8 145 0.080820 100000
2 50 200 0.8 146 0.077960 100000
